eu_id,cc_planting,cc_termination
32806,2019-09-09,2019-11-28
34101,NA,NA
34102,2018-04-23,2018-12-18
34102,2019-04-08,2019-11-28
34103,2018-07-16,2018-12-18
34103,2019-07-31,2019-11-28
34104,2018-08-20,2018-12-18
34104,2019-09-09,2019-11-28
34105,2018-07-16,2018-12-18
34105,2019-07-31,2019-11-28
34301,NA,NA
34302,2018-04-23,2019-04-01
34302,2019-04-08,2020-04-06
34303,2018-07-16,2019-04-01
34303,2019-07-31,2020-04-06
34304,2018-08-20,2019-04-01
34304,2019-09-09,2020-04-06
34305,2018-07-16,2019-04-01
34305,2019-07-31,2020-04-06
34401,NA,NA
34402,2018-04-23,2019-04-01
34402,2019-04-08,2020-04-06
34403,2018-07-16,2019-04-01
34403,2019-07-31,2020-04-06
34404,2018-08-20,2019-04-01
34404,2019-09-09,2020-04-06
34405,2018-07-16,2019-04-01
34405,2019-07-31,2020-04-06
34602,2018-04-23,2019-04-01
34602,2019-04-08,2020-04-06
34603,2018-07-16,2019-04-01
34603,2019-07-31,2020-04-06
34604,2018-08-20,2019-04-01
34604,2019-09-09,2020-04-06
34605,2018-07-16,2019-04-01
34605,2019-07-31,2020-04-06
34606,NA,NA
34702,2018-04-23,2019-04-01
34702,2019-04-08,2020-04-06
34703,2018-07-16,2019-04-01
34703,2019-07-31,2020-04-06
34704,2018-08-20,2019-04-01
34704,2019-09-09,2020-04-06
34705,2018-07-16,2019-04-01
34705,2019-07-31,2020-04-06
34706,NA,NA
34802,2018-04-23,2018-12-18
34802,2019-04-08,2019-11-28
34803,2018-07-16,2018-12-18
34803,2019-07-31,2019-11-28
34804,2018-08-20,2018-12-18
34804,2019-09-09,2019-11-28
34805,2018-07-16,2018-12-18
34805,2019-07-31,2019-11-28
34806,NA,NA
34901,2018-07-16,2019-04-01
34901,2019-07-31,2020-04-06
34902,2018-04-23,2019-04-01
34902,2019-04-08,2020-04-06
34903,NA,NA
34905,2018-07-16,2019-04-01
34905,2019-07-31,2020-04-06
34906,2018-08-20,2019-04-01
34906,2019-09-09,2020-04-06
35101,2018-07-16,2018-12-18
35101,2019-07-31,2019-11-28
35102,2018-04-23,2018-12-18
35102,2019-04-08,2019-11-28
35103,NA,NA
35105,2018-07-16,2018-12-18
35105,2019-07-31,2019-11-28
35106,2018-08-20,2018-12-18
35106,2019-09-09,2019-11-28
35201,2018-07-16,2019-04-01
35201,2019-07-31,2020-04-06
35202,2018-04-23,2019-04-01
35202,2019-04-08,2020-04-06
35203,NA,NA
35205,2018-07-16,2019-04-01
35205,2019-07-31,2020-04-06
35206,2018-08-20,2019-04-01
35206,2019-09-09,2020-04-06
35301,2018-07-16,2019-04-01
35301,2019-07-31,2020-04-06
35302,2018-04-23,2019-04-01
35302,2019-04-08,2020-04-06
35304,NA,NA
35305,2018-07-16,2019-04-01
35305,2019-07-31,2020-04-06
35306,2018-08-20,2019-04-01
35306,2019-09-09,2020-04-06
35401,2018-07-16,2018-12-18
35401,2019-07-31,2019-11-28
35402,2018-04-23,2018-12-18
35402,2019-04-08,2019-11-28
35404,NA,NA
35405,2018-07-16,2018-12-18
35405,2019-07-31,2019-11-28
35406,2018-08-20,2018-12-18
35406,2019-09-09,2019-11-28
35501,2018-07-16,2019-04-01
35501,2019-07-31,2020-04-06
35502,2018-04-23,2019-04-01
35502,2019-04-08,2020-04-06
35504,NA,NA
35505,2018-07-16,2019-04-01
35505,2019-07-31,2020-04-06
35506,2018-08-20,2019-04-01
35506,2019-09-09,2020-04-06
