eu_id,ccest_year,pl2samp_gdd,pl2term_gdd
34403,2019,1311.3,2126.8
34404,2018,1032.9,1587.1
34404,2019,612.2,1427.7
34405,2018,1758.4,2312.6
34405,2019,1311.3,2126.8
34602,2018,3079.1,3633.3
34602,2019,2858.9,3674.4
34603,2018,1758.4,2312.6
34603,2019,1311.3,2126.8
34604,2018,1032.9,1587.1
34604,2019,612.2,1427.7
34605,2018,1758.4,2312.6
34605,2019,1311.3,2126.8
34606,NA,NA,NA
34702,2018,3079.1,3633.3
34702,2019,2858.9,3674.4
34703,2018,1758.4,2312.6
34703,2019,1311.3,2126.8
34704,2018,1032.9,1587.1
34704,2019,612.2,1427.7
34705,2018,1758.4,2312.6
34705,2019,1311.3,2126.8
34706,NA,NA,NA
34802,2018,3079.1,3246.5
34802,2019,2858.9,3034.4
34803,2018,1758.4,1925.8
34803,2019,1311.3,1486.8
34804,2018,1032.9,1200.3
34804,2019,612.2,787.7
34805,2018,1758.4,1925.8
34805,2019,1311.3,1486.8
34806,NA,NA,NA
34901,2018,1758.4,2312.6
34901,2019,1311.3,2126.8
34902,2018,3079.1,3633.3
34902,2019,2858.9,3674.4
34903,NA,NA,NA
34905,2018,1758.4,2312.6
34905,2019,1311.3,2126.8
34906,2018,1032.9,1587.1
34906,2019,612.2,1427.7
35101,2018,1758.4,1925.8
35101,2019,1311.3,1486.8
35102,2018,3079.1,3246.5
35102,2019,2858.9,3034.4
35103,NA,NA,NA
35105,2018,1758.4,1925.8
35105,2019,1311.3,1486.8
35106,2018,1032.9,1200.3
35106,2019,612.2,787.7
35201,2018,1758.4,2312.6
35201,2019,1311.3,2126.8
35202,2018,3079.1,3633.3
35202,2019,2858.9,3674.4
35203,NA,NA,NA
35205,2018,1758.4,2312.6
35205,2019,1311.3,2126.8
35206,2018,1032.9,1587.1
35206,2019,612.2,1427.7
35301,2018,1758.4,2312.6
35301,2019,1311.3,2126.8
35302,2018,3079.1,3633.3
35302,2019,2858.9,3674.4
35304,NA,NA,NA
35305,2018,1758.4,2312.6
35305,2019,1311.3,2126.8
35306,2018,1032.9,1587.1
35306,2019,612.2,1427.7
