eu_id,date2,subrep,weed_type,count
30502,2019-05-22,1,dicot,324
30502,2019-05-22,1,monocot,0
30502,2019-05-22,1,cirar,0
30502,2019-05-22,1,equar,0
30502,2019-05-22,2,dicot,340
30502,2019-05-22,2,monocot,12
30502,2019-05-22,2,cirar,0
30502,2019-05-22,2,equar,0
30502,2019-05-22,3,dicot,224
30502,2019-05-22,3,monocot,16
30502,2019-05-22,3,cirar,0
30502,2019-05-22,3,equar,0
30503,2019-05-22,1,dicot,144
30503,2019-05-22,1,monocot,0
30503,2019-05-22,1,cirar,0
30503,2019-05-22,1,equar,0
30503,2019-05-22,2,dicot,176
30503,2019-05-22,2,monocot,0
30503,2019-05-22,2,cirar,0
30503,2019-05-22,2,equar,0
30503,2019-05-22,3,dicot,184
30503,2019-05-22,3,monocot,12
30503,2019-05-22,3,cirar,0
30503,2019-05-22,3,equar,0
30504,2019-05-22,1,dicot,168
30504,2019-05-22,1,monocot,12
30504,2019-05-22,1,cirar,0
30504,2019-05-22,1,equar,0
30504,2019-05-22,2,dicot,248
30504,2019-05-22,2,monocot,0
30504,2019-05-22,2,cirar,0
30504,2019-05-22,2,equar,0
30504,2019-05-22,3,dicot,224
30504,2019-05-22,3,monocot,12
30504,2019-05-22,3,cirar,0
30504,2019-05-22,3,equar,0
30505,2019-05-22,1,dicot,232
30505,2019-05-22,1,monocot,8
30505,2019-05-22,1,cirar,0
30505,2019-05-22,1,equar,0
30505,2019-05-22,2,dicot,272
30505,2019-05-22,2,monocot,16
30505,2019-05-22,2,cirar,0
30505,2019-05-22,2,equar,0
30505,2019-05-22,3,dicot,264
30505,2019-05-22,3,monocot,12
30505,2019-05-22,3,cirar,0
30505,2019-05-22,3,equar,0
30506,2019-05-22,1,dicot,248
30506,2019-05-22,1,monocot,20
30506,2019-05-22,1,cirar,0
30506,2019-05-22,1,equar,0
30506,2019-05-22,2,dicot,176
30506,2019-05-22,2,monocot,12
30506,2019-05-22,2,cirar,0
30506,2019-05-22,2,equar,0
30506,2019-05-22,3,dicot,264
30506,2019-05-22,3,monocot,8
30506,2019-05-22,3,cirar,0
30506,2019-05-22,3,equar,0
30602,2019-05-22,1,dicot,312
30602,2019-05-22,1,monocot,0
30602,2019-05-22,1,cirar,0
30602,2019-05-22,1,equar,0
30602,2019-05-22,2,dicot,208
30602,2019-05-22,2,monocot,0
30602,2019-05-22,2,cirar,0
30602,2019-05-22,2,equar,0
30602,2019-05-22,3,dicot,208
30602,2019-05-22,3,monocot,0
30602,2019-05-22,3,cirar,0
30602,2019-05-22,3,equar,0
30603,2019-05-22,1,dicot,224
30603,2019-05-22,1,monocot,0
30603,2019-05-22,1,cirar,0
