eu_id,date2,exp_year,subrep,cover_cat,cover_type,cover_pct
30502,2019-11-13,y2,NA,other,gerss,0
30502,2019-11-13,y2,NA,other,matin,0
30502,2019-11-13,y2,NA,other,tarof,0
30502,2019-11-13,y2,NA,other,ephex,0
30502,2019-11-13,y2,NA,other,lamss,0
30502,2020-05-27,y2,1,soil,soil,0
30502,2020-05-27,y2,1,other,volunteer,0
30502,2020-05-27,y2,1,covercrop,clover,0
30502,2020-05-27,y2,1,covercrop,lolpe,0
30502,2020-05-27,y2,1,covercrop,radish,0
30502,2020-05-27,y2,1,other,senss,0
30502,2020-05-27,y2,1,other,verss,0
30502,2020-05-27,y2,1,other,capbp,0
30502,2020-05-27,y2,1,other,paprh,0
30502,2020-05-27,y2,1,other,cirss,0
30502,2020-05-27,y2,1,other,gerss,0
30502,2020-05-27,y2,1,other,matin,0
30502,2020-05-27,y2,1,other,tarof,0
30502,2020-05-27,y2,1,other,ephex,0
30502,2020-05-27,y2,1,other,lamss,0
30502,2020-05-27,y2,2,soil,soil,0
30502,2020-05-27,y2,2,other,volunteer,0
30502,2020-05-27,y2,2,covercrop,clover,0
30502,2020-05-27,y2,2,covercrop,lolpe,0
30502,2020-05-27,y2,2,covercrop,radish,0
30502,2020-05-27,y2,2,other,senss,0
30502,2020-05-27,y2,2,other,verss,0
30502,2020-05-27,y2,2,other,capbp,0
30502,2020-05-27,y2,2,other,paprh,0
30502,2020-05-27,y2,2,other,cirss,0
30502,2020-05-27,y2,2,other,gerss,0
30502,2020-05-27,y2,2,other,matin,0
30502,2020-05-27,y2,2,other,tarof,0
30502,2020-05-27,y2,2,other,ephex,0
30502,2020-05-27,y2,2,other,lamss,0
30502,2020-05-27,y2,3,soil,soil,0
30502,2020-05-27,y2,3,other,volunteer,0
30502,2020-05-27,y2,3,covercrop,clover,0
30502,2020-05-27,y2,3,covercrop,lolpe,0
30502,2020-05-27,y2,3,covercrop,radish,0
30502,2020-05-27,y2,3,other,senss,0
30502,2020-05-27,y2,3,other,verss,0
30502,2020-05-27,y2,3,other,capbp,0
30502,2020-05-27,y2,3,other,paprh,0
30502,2020-05-27,y2,3,other,cirss,0
30502,2020-05-27,y2,3,other,gerss,0
30502,2020-05-27,y2,3,other,matin,0
30502,2020-05-27,y2,3,other,tarof,0
30502,2020-05-27,y2,3,other,ephex,0
30502,2020-05-27,y2,3,other,lamss,0
30502,2020-08-24,y2,NA,soil,soil,0
30502,2020-08-24,y2,NA,other,volunteer,0
30502,2020-08-24,y2,NA,covercrop,clover,0
