eppo_code,latin_name,family,wssa2023
avesa,avena sativa l.,poaceae,oat
capbp,capsella bursa-pastoris (l.) medik.,brassicaceae,shepherds purse
cirar,cirsium arvense (l.) scop.,asteraceae,canada thistle
cirss,cirsium species,asteraceae,NA
ephex,euphorbiaceae,euphorbia exigua l.,NA
equar,equisetum arvense l.,equisetaceae,field horsetail
gerss,geranium species,geraniaceae,NA
horvw,NA,NA,NA
lamss,lamium species,lamiaceae,NA
lolpe,lolium perenne l.,poaceae,perennial ryegrass
matin,tripleurospermum inodorum (l.) sch. bip.,asteraceae,scentless chamomile
paprh,papaver rhoeas l.,papaveraceae,corn poppy
rapsr,raphanus sativus l.,brassicaceae,radish
senss,senecio species,asteraceae,NA
tarof,taraxacum officinale f. h. wigg.,asteraceae,dandelion
trfre,trifolium repens l.,fabaceae,white clover
verss,veronica species,plantaginaceae,NA
