eppo_code,latin_name,family,wssa2023
avesa,avena sativa,poaceae,oat
capbp,capsella bursa-pastoris,brassicaceae,shepherds purse
cirar,cirsium arvense,asteraceae,canada thistle
cirss,cirsium species,asteraceae,NA
ephex,euphorbiaceae,euphorbia exigua l.,NA
equar,equisetum arvense,equisetaceae,field horsetail
gerss,geranium species,geraniaceae,NA
horvw,hordeum vulgare,poaceae,barley
lamss,lamium species,lamiaceae,NA
lolpe,lolium perenne,poaceae,perennial ryegrass
matin,tripleurospermum inodorum,asteraceae,scentless chamomile
paprh,papaver rhoeas,papaveraceae,corn poppy
rapsr,raphanus sativus,brassicaceae,radish
senss,senecio species,asteraceae,NA
tarof,taraxacum officinale,asteraceae,dandelion
trfre,trifolium repens,fabaceae,white clover
verss,veronica species,plantaginaceae,NA
