eu_id,date2,exp_year,dm_type,dm_gm2
30603,2018-11-15,y1_fall,radish,131.92
30603,2018-11-15,y1_fall,volunteer,54.29
30603,2019-11-13,y2_fall,grass_cl,NA
30603,2019-11-13,y2_fall,weeds,83.9
30603,2019-11-13,y2_fall,radish,79.65
30603,2019-11-13,y2_fall,volunteer,NA
30604,2018-11-15,y1_fall,grass_cl,NA
30604,2018-11-15,y1_fall,weeds,NA
30604,2018-11-15,y1_fall,radish,30.5
30604,2018-11-15,y1_fall,volunteer,83.15
30604,2019-11-13,y2_fall,grass_cl,NA
30604,2019-11-13,y2_fall,weeds,39.63
30604,2019-11-13,y2_fall,radish,8.21
30604,2019-11-13,y2_fall,volunteer,NA
30605,2018-11-15,y1_fall,grass_cl,2.01
30605,2018-11-15,y1_fall,weeds,0.06
30605,2018-11-15,y1_fall,radish,NA
30605,2018-11-15,y1_fall,volunteer,212.68
30605,2019-11-13,y2_fall,grass_cl,6.33
30605,2019-11-13,y2_fall,weeds,39.75
30605,2019-11-13,y2_fall,radish,NA
30605,2019-11-13,y2_fall,volunteer,NA
30606,2018-11-15,y1_fall,grass_cl,NA
30606,2018-11-15,y1_fall,weeds,0.28
30606,2018-11-15,y1_fall,radish,NA
30606,2018-11-15,y1_fall,volunteer,138.87
30606,2019-11-13,y2_fall,grass_cl,NA
30606,2019-11-13,y2_fall,weeds,53.59
30606,2019-11-13,y2_fall,radish,NA
30606,2019-11-13,y2_fall,volunteer,NA
30802,2018-11-15,y1_fall,grass_cl,48.02
30802,2018-11-15,y1_fall,weeds,5.43
30802,2018-11-15,y1_fall,radish,NA
30802,2018-11-15,y1_fall,volunteer,152.18
30802,2019-11-13,y2_fall,grass_cl,83.3
30802,2019-11-13,y2_fall,weeds,54.09
30802,2019-11-13,y2_fall,radish,NA
30802,2019-11-13,y2_fall,volunteer,NA
30803,2018-11-15,y1_fall,grass_cl,NA
30803,2018-11-15,y1_fall,weeds,0.02
30803,2018-11-15,y1_fall,radish,211.29
30803,2018-11-15,y1_fall,volunteer,107.77
30803,2019-11-13,y2_fall,grass_cl,NA
30803,2019-11-13,y2_fall,weeds,91.58
30803,2019-11-13,y2_fall,radish,170.58
30803,2019-11-13,y2_fall,volunteer,NA
30804,2018-11-15,y1_fall,grass_cl,NA
30804,2018-11-15,y1_fall,weeds,0
30804,2018-11-15,y1_fall,radish,76.08
