eu_id,date2,crop,yield_dry_Mgha,yield_15p_tonha,calc_yield_15p_tonha
30502,2018-08-08,spring barley,3.558247423,4.186173438,4.09198453645
30502,2019-08-15,oat,3.67004081676,4.317695078541177,4.220546939274
30502,2020-08-24,faba bean,3.547333333,4.173333332941177,4.07943333295
30503,2018-08-08,spring barley,5.097123519,5.996615905,5.86169204685
30503,2019-08-15,oat,4.481231292294001,5.2720368144635295,5.153415986138101
30503,2020-08-24,faba bean,5.344444444,6.287581698823529,6.146111110599999
30504,2018-08-08,spring barley,5.127106599,6.031890116,5.89617258885
30504,2019-08-15,oat,4.231102040744,4.977767106757647,4.865767346855599
30504,2020-08-24,faba bean,5.501388889,6.472222222352942,6.326597222349999
30505,2018-08-08,spring barley,3.322439863,3.908752779,3.8208058424499995
30505,2019-08-15,oat,3.901593197472,4.590109644084706,4.4868321770928
30505,2020-08-24,faba bean,3.583333333,4.215686274117647,4.12083333295
30506,2018-08-08,spring barley,3.388717949,3.986726998,3.89702564135
30506,2019-08-15,oat,4.147459183830001,4.879363745682353,4.7695780614045
30506,2020-08-24,faba bean,3.4104166670000002,4.012254902352942,3.92197916705
30602,2018-08-08,spring barley,3.356701031,3.949060036,3.8602061856499996
30602,2019-08-15,oat,3.956130612408,4.654271308715294,4.5495502042692
30602,2020-08-24,faba bean,3.258,3.8329411764705883,3.7466999999999997
30603,2018-08-08,spring barley,5.07285956,5.968070071,5.833788494
30603,2019-08-15,oat,4.415691156891,5.19493077281294,5.078044830424649
30603,2020-08-24,faba bean,5.547916666999999,6.526960784705882,6.380104167049998
30604,2018-08-08,spring barley,4.687918782,5.515198567,5.3911065993
30604,2019-08-15,oat,4.315559184047999,5.077128451821176,4.962893061655199
30604,2020-08-24,faba bean,4.713888889,5.545751634117647,5.42097222235
30605,2018-08-08,spring barley,2.865223368,3.370851021,3.2950068731999997
30605,2019-08-15,oat,3.55644761947,4.1840560229058825,4.0899147623904994
30605,2020-08-24,faba bean,3.001333333,3.530980391764706,3.4515333329499995
30606,2018-08-08,spring barley,4.609367520999999,5.422785319,5.300772649149999
30606,2019-08-15,oat,4.4838755103670005,5.275147659255296,5.15645683692205
30606,2020-08-24,faba bean,4.3520833329999995,5.120098038823529,5.004895832949999
30802,2018-08-08,spring barley,4.3795918369999995,5.152460984,5.036530612549999
30802,2019-08-15,oat,4.6713632655840005,5.495721488922353,5.3720677554216
30802,2020-08-24,faba bean,3.292,3.8729411764705883,3.7857999999999996
30803,2018-08-08,spring barley,5.189251701,6.105002001,5.96763945615
30803,2019-08-15,oat,5.425785034261001,6.383276510895295,6.23965278940015
30803,2020-08-24,faba bean,5.760416666999999,6.776960784705882,6.624479167049999
30804,2018-08-08,spring barley,5.4004421769999995,6.353461385,6.210508503549999
30804,2019-08-15,oat,4.9581489792659985,5.833116446195293,5.7018713261558975
30804,2020-08-24,faba bean,4.9069444440000005,5.772875816470588,5.6429861106
30805,2018-08-08,spring barley,4.425,5.205882353,5.088749999999999
30805,2019-08-15,oat,4.368408163470001,5.139303721729414,5.0236693879905
30805,2020-08-24,faba bean,4.66,5.482352941176471,5.359
30806,2018-08-08,spring barley,4.495340135999999,5.288635454,5.169641156399999
30806,2019-08-15,oat,4.900825850316,5.765677470959999,5.6359497278634
30806,2020-08-24,faba bean,4.80625,5.654411764705883,5.5271875
31402,2018-08-08,spring barley,4.893402062,5.756943602,5.627412371299999
31402,2019-08-15,oat,5.136469387785,6.042905162099999,5.906939795952749
31402,2020-08-24,faba bean,3.039333333,3.5756862741176474,3.49523333295
31403,2018-08-08,spring barley,5.554693878,6.534933974,6.3878979597
31403,2019-08-15,oat,5.118680272293999,6.021976790934117,5.8864823131380986
31403,2020-08-24,faba bean,5.059027778,5.951797385882354,5.8178819447
31404,2018-08-08,spring barley,4.848979592,5.704681873,5.576326530799999
31404,2019-08-15,oat,4.67836734728,5.503961585035295,5.380122449371999
31404,2020-08-24,faba bean,4.490972222,5.283496731764706,5.164618055299999
31405,2018-08-08,spring barley,4.621546392,5.437113402,5.314778350799999
31405,2019-08-15,oat,4.455393877557,5.241639855949412,5.12370295919055
31405,2020-08-24,faba bean,3.752,4.414117647058824,4.314799999999999
31406,2018-08-08,spring barley,3.636205128,4.277888386,4.1816358972
31406,2019-08-15,oat,3.9226122448859995,4.61483793516,4.511004081618899
31406,2020-08-24,faba bean,3.9423611110000003,4.638071895294118,4.53371527765
31502,2018-08-08,spring barley,4.77257732,5.614796847,5.488463918
31502,2019-08-15,oat,4.47153877557,5.260633853611765,5.1422695919054995
31502,2020-08-24,faba bean,2.921333333,3.436862744705883,3.35953333295
31503,2018-08-08,spring barley,4.584795918,5.393877551,5.2725153057
31503,2019-08-15,oat,4.472723128987999,5.262027210574118,5.143631598336198
31503,2020-08-24,faba bean,4.302777778,5.062091503529412,4.9481944447
31504,2018-08-08,spring barley,3.202721088,3.767907163,3.6831292512
31504,2019-08-15,oat,4.21502040784,4.958847538635295,4.847273469016
31504,2020-08-24,faba bean,3.748611111,4.41013071882353,4.31090277765
31505,2018-08-08,spring barley,4.530927835,5.330503335,5.210567010249999
31505,2019-08-15,oat,4.51698367329,5.314098439164707,5.1945312242835
31505,2020-08-24,faba bean,3.7606666669999997,4.424313725882352,4.32476666705
31506,2018-08-08,spring barley,3.820854701,4.495123177,4.39398290615
31506,2019-08-15,oat,4.04919727872,4.763761504376471,4.656576870528
31506,2020-08-24,faba bean,3.274305556,3.852124183529412,3.7654513893999995
31602,2018-08-08,spring barley,5.146735394999999,6.054982818,5.918745704249999
31602,2019-08-15,oat,4.653118367293,5.474256902697647,5.351086122386949
31602,2020-08-24,faba bean,3.9560000000000004,4.654117647058824,4.5494
31603,2018-08-08,spring barley,4.903265306,5.768547419,5.638755101899999
31603,2019-08-15,oat,4.493663265342,5.286662665108236,5.167712755143299
31603,2020-08-24,faba bean,3.752083333,4.414215685882353,4.31489583295
